LATNUM,LONGNUM
-8.514152,20.541508
-9.405401,20.301661
-7.80549,21.390818
-8.946466,20.47556
-8.21049,21.153161
-11.6802,27.468006
-11.6802,27.468006
-11.6802,27.468006
-11.6802,27.468006
-8.892047,28.271713
-8.892047,28.271713
-11.633425,27.581004
-11.633425,27.581004
-11.009184,26.748521
-12.72778,28.47
-10.814283,26.589346
-10.814283,26.589346
-10.867671,26.563773
-10.867671,26.563773
-8.302902,29.233426
-8.302902,29.233426
-10.711863,25.421085
-10.711863,25.421085
-10.72222,25.402159
-10.72222,25.402159
-10.74334,25.390129
-10.74334,25.390129
-10.714788,25.381711
-10.714788,25.381711
-12.248641,27.96812
-11.360391,27.571917
-11.362658,27.562173
-11.1711,27.008606
-10.735588,25.453505
-10.735588,25.453505
-9.942493,25.960218
-10.680271,25.388706
-10.755585,26.307206
-10.741819,25.378556
-11.162192,27.455657
-10.771608,25.913612
-11.01514,26.76513
-10.879621,26.613727
-8.626877,27.336393
-8.626877,27.336393
-9.424441,25.932265
-9.424441,25.932265
-7.314083,27.40981
-10.73311,26.40412
-10.73311,26.40412
-10.78667,25.80972
-10.78667,25.80972
-11.003968,26.747257
-11.003968,26.747257
-11.139443,27.4516
-10.795211,25.796773
-11.027368,26.754318
-10.753131,25.423587
-11.004444,26.746111
-11.682445,27.471376
-11.643885,27.503328
-11.166406,27.014127
-10.7766,25.916224
-10.730567,25.448244
-10.721927,25.364705
-10.792819,25.795559
-10.569284,26.194279
-10.568014,26.197059
-11.518996,27.429961
-11.518996,27.429961
-10.641716,25.422617
-10.641716,25.422617
-10.641716,25.422617
-11.619588,27.550127
-11.619588,27.550127
-11.613595,27.554553
-11.613595,27.554553
-11.613595,27.554553
-11.007236,26.748463
-10.745,25.363
-11.685975,27.471213
-11.685975,27.471213
-11.682539,27.471158
-10.58131,26.18647
-10.58131,26.18647
-11.644232,27.504139
-15.706929,35.119341
-15.043903,35.052808
-15.445017,34.862083
-14.984386,34.956898
-15.469664,35.040557
-10.715084,34.154245
-10.646556,34.089842
-9.712969,33.864136
-15.540389,35.805547
-12.867617,33.719348
-9.988675,33.695436
-16.045069,34.768274
-11.889725,33.712584
-10.000174,33.673102
-14.975132,34.666939
-14.975132,34.666939
-15.796833,35.034114
-15.791706,35.027604
-12.876678,33.721307
-15.072088,35.236402
-14.572322,35.176154
-9.995577,33.700789
-12.665395,33.034149
-12.665395,33.034149
-16.207507,33.66952
-15.916412,33.011391
-18.864553,32.972546
-18.914804,32.936652
-16.163943,33.672691
-18.897082,32.874616
-18.897082,32.874616
-16.168332,33.80017
-19.804914,34.845194
-19.652248,34.758942
-19.652248,34.758942
-18.909681,32.921598
-8.359803,32.950748
-8.359803,32.950748
-10.527389,35.008388
-8.941677,33.242481
-13.04861,28.33806
-13.0423,28.709353
-12.649976,28.041173
-12.649976,28.041173
-12.649976,28.041173
-12.649976,28.041173
-12.649976,28.041173
-12.649976,28.041173
-12.658916,28.047927
-12.658,28.103
-12.913955,28.079191
-15.546439,28.270833
-15.546439,28.270833
-12.509245,27.909252
-15.522856,28.16544
-15.749391,28.169143
-13.002026,28.701861
-12.975685,28.724193
-13.003175,28.703245
-12.984161,28.702034
-12.975415,28.688401
-12.407089,27.880269
-12.407089,27.880269
-13.039057,28.679674
-13.091699,28.13841
-17.150303,27.365384
-12.093786,26.429833
-12.093786,26.429833
-12.093786,26.429833
-12.088361,26.408977
-12.088361,26.408977
-17.700262,26.880387
-12.378789,27.826968
-12.378789,27.826968
-13.068863,28.322909
-13.068863,28.322909
-12.29413,27.765612
-12.230905,25.817114
-11.147349,28.83857
-11.037357,28.768431
-10.815936,29.041855
-13.641695,29.440164
-13.944326,29.14044
-12.535,28.234
-12.542415,28.219801
-12.523172,28.226558
-12.534,28.237
-12.533671,28.238891
-13.06861,28.32583
-15.925446,28.129807
-15.925446,28.129807
-15.925446,28.129807
-12.72194,27.96802
-15.492194,27.909605
-12.529444,27.850278
-12.531,27.855
-12.531,27.855
-12.53611,27.83312
-12.566381,27.814871
-12.507613,27.875482
-12.841082,28.205714
-12.843,28.205
-12.843,28.205
-12.851026,28.207404
-12.851026,28.207404
-12.851026,28.207404
-12.851026,28.207404
-12.80525,28.185836
-12.80525,28.185836
-12.796917,28.178776
-12.796917,28.178776
-12.77556,28.161052
-12.77556,28.161052
-12.854466,28.212123
-12.854466,28.212123
-12.854466,28.212123
-12.854466,28.212123
-13.026106,28.776486
-14.459279,28.436987
-14.459279,28.436987
-12.256487,25.300218
-17.330614,27.209252
-12.620624,27.881435
-20.096683,30.526532
-19.418096,30.04956
-17.819929,31.198365
-20.113951,28.685909
-17.105962,30.711944
-17.703265,30.554569
-19.342911,30.188853
-17.152593,30.674621
-18.92375,30.27135
-19.72018,30.011049
-19.952212,29.953696
-18.298337,26.499394
-18.316482,26.471838
-18.444435,26.522797
-18.39568,26.42646
-18.428026,26.494805
-18.414031,26.434818
-17.588426,28.247145
-17.301511,31.309948
-19.685005,29.228868
-17.297892,31.295564
-18.3157,29.9731
-18.593827,30.349932
-18.634556,30.350165
-18.686923,30.34496
-18.658915,30.354065
-19.7212,30.0104
-18.369028,26.451206
-18.349044,26.43691
-18.383712,26.470171
-19.7212,30.0104
-18.593827,30.349932
-18.634556,30.350165
-18.686923,30.34496
-18.658915,30.354065
-18.3157,29.9731
-19.685005,29.228868
-17.297892,31.295564
-19.798047,32.966703
-19.590556,32.352222
-19.89233,28.581316
-19.307531,28.763559
-19.464836,28.548367
-19.442071,28.582486
-19.517417,28.549409
-18.94694,29.806518
-19.622405,30.095524
-18.821784,29.824479
-19.388,29.9754
-20.143882,28.641224
-18.871882,32.675268
-18.073543,29.847895
-19.612738,29.984492
-18.878882,29.164646
-17.471197,30.924932
-18.887095,32.685321
-17.780815,31.318582
-18.225343,29.797866
-19.718203,28.792973
-17.313397,31.567233
-17.301534,31.310215
-18.593827,30.349932
-18.634556,30.350165
-18.686923,30.34496
-18.658915,30.354065
-19.7212,30.0104
-16.597273,29.453626
-18.133365,30.129442
-19.462109,29.780899
-19.462109,29.780899
-19.462109,29.780899
-19.033333,29.783333
-18.919693,29.822842
-18.315903,29.970701
-19.002178,29.76931
-19.459542,29.792729
-19.015868,29.753703
-18.928095,29.814863
-18.912479,29.833426
-20.062597,30.795668
-19.14944,29.697987
-17.44059,31.066056
-19.9631,31.4281
-19.7212,30.0104
-18.593827,30.349932
-18.634556,30.350165
-18.686923,30.34496
-18.658915,30.354065
-18.3157,29.9731
-17.301511,31.309948
-19.685005,29.228868
-17.297892,31.295564
-18.801137,29.797074
-17.852609,31.132056
-19.06822,31.771406
-18.0328,30.4329
-19.7212,30.0104
-18.0328,30.4329
-18.572894,30.334998
-18.593827,30.349932
-18.634556,30.350165
-18.686923,30.34496
-18.658915,30.354065
-18.510354,26.631345
-19.063865,31.763036
-19.191892,31.720481